organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Delegation for Relations with the United States,D-US,Delegation,197671,Traian BĂSESCU,Member,2021-03-24,
Committee on Foreign Affairs,AFET,Committee,197671,Traian BĂSESCU,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197671,Traian BĂSESCU,Member,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,197671,Traian BĂSESCU,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197610,Alessandra BASSO,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197610,Alessandra BASSO,Member,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197610,Alessandra BASSO,Member,2020-09-14,2022-03-23
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197610,Alessandra BASSO,Member,2022-01-20,
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197610,Alessandra BASSO,Member,2022-02-17,
Committee on Development,DEVE,Committee,197610,Alessandra BASSO,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197610,Alessandra BASSO,Substitute,2019-07-02,2022-02-16
Committee on Legal Affairs,JURI,Committee,197610,Alessandra BASSO,Substitute,2021-06-23,2022-01-19
Committee on Development,DEVE,Committee,197610,Alessandra BASSO,Substitute,2022-01-20,
Committee on Legal Affairs,JURI,Committee,197610,Alessandra BASSO,Substitute,2022-01-20,
Delegation to the EU-Chile Joint Parliamentary Committee,D-CL,Delegation,197779,José Ramón BAUZÁ DÍAZ,Member,2019-07-02,2020-03-09
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197779,José Ramón BAUZÁ DÍAZ,Member,2019-07-02,2020-03-09
Committee on Transport and Tourism,TRAN,Committee,197779,José Ramón BAUZÁ DÍAZ,Member,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,197779,José Ramón BAUZÁ DÍAZ,Member,2020-03-10,
Committee on Transport and Tourism,TRAN,Committee,197779,José Ramón BAUZÁ DÍAZ,Member,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197779,José Ramón BAUZÁ DÍAZ,Member,2022-03-24,2023-07-18
Committee on Foreign Affairs,AFET,Committee,197779,José Ramón BAUZÁ DÍAZ,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197779,José Ramón BAUZÁ DÍAZ,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197779,José Ramón BAUZÁ DÍAZ,Substitute,2022-01-20,
Delegation for Relations with India,D-IN,Delegation,124760,Nicolas BAY,Member,2019-07-02,2019-09-15
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124760,Nicolas BAY,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124760,Nicolas BAY,Member,2019-07-02,2022-02-15
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124760,Nicolas BAY,Member,2019-07-02,2022-02-15
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124760,Nicolas BAY,Member,2019-09-16,2019-10-08
Delegation for Relations with the Countries of South Asia,DSAS,Delegation,124760,Nicolas BAY,Member,2019-10-09,2022-02-15
Committee on Foreign Affairs,AFET,Committee,124760,Nicolas BAY,Member,2022-01-20,2022-02-15
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124760,Nicolas BAY,Member,2022-01-20,2022-02-15
Committee on Employment and Social Affairs,EMPL,Committee,124760,Nicolas BAY,Member,2022-06-22,
Committee on Foreign Affairs,AFET,Committee,124760,Nicolas BAY,Substitute,2019-07-02,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,124760,Nicolas BAY,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,124760,Nicolas BAY,Substitute,2019-07-02,2022-02-15
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124760,Nicolas BAY,Substitute,2019-10-09,2022-02-15
Committee on Economic and Monetary Affairs,ECON,Committee,124760,Nicolas BAY,Substitute,2022-01-20,2022-02-15
Subcommittee on Security and Defence,SEDE,Subcommittee,124760,Nicolas BAY,Substitute,2022-01-20,2022-02-15
Committee on Transport and Tourism,TRAN,Committee,124760,Nicolas BAY,Substitute,2022-06-22,
Delegation for Relations with the Mashreq countries,DMAS,Delegation,124760,Nicolas BAY,Substitute,2022-06-24,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124760,Nicolas BAY,Substitute,2022-06-24,
Committee on Constitutional Affairs,AFCO,Committee,96955,Catherine BEARDER,Member,2019-07-02,2020-01-31
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,96955,Catherine BEARDER,Member,2019-07-02,2020-01-31
Committee on Culture and Education,CULT,Committee,96955,Catherine BEARDER,Substitute,2019-07-02,2020-01-31
Committee on Women’s Rights and Gender Equality,FEMM,Committee,96955,Catherine BEARDER,Substitute,2019-07-02,2020-01-31
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,96955,Catherine BEARDER,Substitute,2019-07-02,2020-01-31
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,96955,Catherine BEARDER,Substitute,2019-07-02,2020-01-31
Committee on Economic and Monetary Affairs,ECON,Committee,132191,Gunnar BECK,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,132191,Gunnar BECK,Member,2019-09-16,
Committee on Legal Affairs,JURI,Committee,132191,Gunnar BECK,Member,2020-02-10,2022-01-19
Subcommittee on Tax Matters,FISC,Subcommittee,132191,Gunnar BECK,Member,2021-10-06,2022-01-19
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,132191,Gunnar BECK,Member,2021-10-18,
Committee on Economic and Monetary Affairs,ECON,Committee,132191,Gunnar BECK,Member,2022-01-20,
Committee on Legal Affairs,JURI,Committee,132191,Gunnar BECK,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,132191,Gunnar BECK,Member,2022-01-20,
Committee on Budgets,BUDG,Committee,132191,Gunnar BECK,Substitute,2019-07-02,2020-01-20
Committee on Legal Affairs,JURI,Committee,132191,Gunnar BECK,Substitute,2019-07-02,2020-02-09
Committee on Constitutional Affairs,AFCO,Committee,132191,Gunnar BECK,Substitute,2020-01-21,2022-01-19
Subcommittee on Tax Matters,FISC,Subcommittee,132191,Gunnar BECK,Substitute,2020-09-14,2021-10-05
Committee on Constitutional Affairs,AFCO,Committee,132191,Gunnar BECK,Substitute,2022-01-20,
European Parliament,EP,Institution of the EU,197437,Nicola BEER,Vice-President,2019-07-02,2022-01-17
European Parliament,EP,Institution of the EU,197437,Nicola BEER,Vice-President,2022-01-18,
Parliament's Bureau,BURO,Political Body,197437,Nicola BEER,Member,2019-07-02,2022-01-17
"Committee on Industry, Research and Energy",ITRE,Committee,197437,Nicola BEER,Member,2019-07-02,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,197437,Nicola BEER,Member,2019-07-02,
Parliament's Bureau,BURO,Political Body,197437,Nicola BEER,Member,2022-01-18,
"Committee on Industry, Research and Energy",ITRE,Committee,197437,Nicola BEER,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,197437,Nicola BEER,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197437,Nicola BEER,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197437,Nicola BEER,Substitute,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,197437,Nicola BEER,Substitute,2022-01-20,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124777,Tiziana BEGHIN,Member,2019-07-02,2019-09-15
Committee on International Trade,INTA,Committee,124777,Tiziana BEGHIN,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,124777,Tiziana BEGHIN,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124777,Tiziana BEGHIN,Member,2019-09-16,
Committee on International Trade,INTA,Committee,124777,Tiziana BEGHIN,Member,2022-01-20,
Delegation to the EU-Chile Joint Parliamentary Committee,D-CL,Delegation,124777,Tiziana BEGHIN,Substitute,2019-07-02,2019-09-09
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124777,Tiziana BEGHIN,Substitute,2019-07-02,2021-03-10
Committee on Budgets,BUDG,Committee,124777,Tiziana BEGHIN,Substitute,2019-07-02,2022-01-19
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124777,Tiziana BEGHIN,Substitute,2019-09-10,2019-09-15
Delegation for Relations with the Mashreq countries,DMAS,Delegation,124777,Tiziana BEGHIN,Substitute,2019-09-10,2020-12-09
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,124777,Tiziana BEGHIN,Substitute,2020-02-12,
"Committee on Industry, Research and Energy",ITRE,Committee,124777,Tiziana BEGHIN,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,124777,Tiziana BEGHIN,Substitute,2022-06-27,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197680,Aurélia BEIGNEUX,Member,2019-07-02,2022-01-19
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197680,Aurélia BEIGNEUX,Member,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197680,Aurélia BEIGNEUX,Member,2022-01-20,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,197680,Aurélia BEIGNEUX,Member,2022-03-24,2023-08-12
Subcommittee on Public Health,SANT,Subcommittee,197680,Aurélia BEIGNEUX,Member,2023-03-15,
Delegation for Relations with India,D-IN,Delegation,197680,Aurélia BEIGNEUX,Substitute,2019-07-02,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,197680,Aurélia BEIGNEUX,Substitute,2020-06-19,2021-12-19
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197680,Aurélia BEIGNEUX,Substitute,2022-02-17,
Committee on Economic and Monetary Affairs,ECON,Committee,197496,Marek BELKA,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,197496,Marek BELKA,Member,2019-07-02,
Subcommittee on Tax Matters,FISC,Subcommittee,197496,Marek BELKA,Member,2020-09-14,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,197496,Marek BELKA,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197496,Marek BELKA,Member,2022-01-20,
Delegation for Relations with the Countries of Central America,DCAM,Delegation,197496,Marek BELKA,Substitute,2019-07-02,
Committee on International Trade,INTA,Committee,197496,Marek BELKA,Substitute,2019-07-09,2022-01-19
Committee on International Trade,INTA,Committee,197496,Marek BELKA,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197534,François-Xavier BELLAMY,Member,2019-07-02,2022-01-19
Committee on Fisheries,PECH,Committee,197534,François-Xavier BELLAMY,Member,2019-07-02,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197534,François-Xavier BELLAMY,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197534,François-Xavier BELLAMY,Member,2019-07-02,
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,197534,François-Xavier BELLAMY,Member,2021-10-18,
"Committee on Industry, Research and Energy",ITRE,Committee,197534,François-Xavier BELLAMY,Member,2022-01-20,
Committee on Fisheries,PECH,Committee,197534,François-Xavier BELLAMY,Member,2022-01-20,
Committee on Culture and Education,CULT,Committee,197534,François-Xavier BELLAMY,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Iraq,D-IQ,Delegation,197534,François-Xavier BELLAMY,Substitute,2019-07-02,
Committee on Culture and Education,CULT,Committee,197534,François-Xavier BELLAMY,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,197658,Adrian-Dragoş BENEA,Vice-Chair,2019-07-22,2022-01-19
Committee on Regional Development,REGI,Committee,197658,Adrian-Dragoş BENEA,Vice-Chair,2022-01-20,2022-01-24
Committee on Regional Development,REGI,Committee,197658,Adrian-Dragoş BENEA,Member,2019-07-02,2019-07-21
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,197658,Adrian-Dragoş BENEA,Member,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,197658,Adrian-Dragoş BENEA,Member,2019-07-17,2022-01-19
Committee on Agriculture and Rural Development,AGRI,Committee,197658,Adrian-Dragoş BENEA,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,197658,Adrian-Dragoş BENEA,Member,2022-01-25,
Committee on Transport and Tourism,TRAN,Committee,197658,Adrian-Dragoş BENEA,Substitute,2019-07-02,2019-07-04
Delegation to the EU-Ukraine Parliamentary Association Committee,D-UA,Delegation,197658,Adrian-Dragoş BENEA,Substitute,2019-07-02,
Committee on Petitions,PETI,Committee,197658,Adrian-Dragoş BENEA,Substitute,2019-07-09,2022-01-19
Committee on Petitions,PETI,Committee,197658,Adrian-Dragoş BENEA,Substitute,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124867,Brando BENIFEI,Member,2019-07-02,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,124867,Brando BENIFEI,Member,2019-07-02,
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,124867,Brando BENIFEI,Member,2020-03-10,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124867,Brando BENIFEI,Member,2020-03-10,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,124867,Brando BENIFEI,Member,2020-09-14,2022-03-23
"Committee on Industry, Research and Energy",ITRE,Committee,124867,Brando BENIFEI,Member,2022-01-20,2022-02-13
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124867,Brando BENIFEI,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124867,Brando BENIFEI,Member,2023-05-09,2023-06-14
Committee on Employment and Social Affairs,EMPL,Committee,124867,Brando BENIFEI,Substitute,2019-07-02,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,124867,Brando BENIFEI,Substitute,2019-07-02,2022-01-19
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,124867,Brando BENIFEI,Substitute,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124867,Brando BENIFEI,Substitute,2019-07-02,
Committee on Legal Affairs,JURI,Committee,124867,Brando BENIFEI,Substitute,2020-03-10,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,124867,Brando BENIFEI,Substitute,2020-03-10,
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,124867,Brando BENIFEI,Substitute,2021-10-18,
Committee on Legal Affairs,JURI,Committee,124867,Brando BENIFEI,Substitute,2022-01-20,2023-09-07
Committee on Employment and Social Affairs,EMPL,Committee,124867,Brando BENIFEI,Substitute,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,124867,Brando BENIFEI,Substitute,2022-01-20,
Delegation for Relations with the United States,D-US,Delegation,124867,Brando BENIFEI,Substitute,2022-06-21,
Committee on Regional Development,REGI,Committee,197679,Isabel BENJUMEA BENJUMEA,Vice-Chair,2019-07-22,2022-01-19
Committee on Regional Development,REGI,Committee,197679,Isabel BENJUMEA BENJUMEA,Vice-Chair,2022-01-20,
Committee on Regional Development,REGI,Committee,197679,Isabel BENJUMEA BENJUMEA,Member,2019-07-02,2019-07-21
Delegation to the EU-Ukraine Parliamentary Association Committee,D-UA,Delegation,197679,Isabel BENJUMEA BENJUMEA,Member,2019-07-02,2021-04-28
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197679,Isabel BENJUMEA BENJUMEA,Member,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,197679,Isabel BENJUMEA BENJUMEA,Member,2020-02-10,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,197679,Isabel BENJUMEA BENJUMEA,Member,2022-01-20,
Committee on Culture and Education,CULT,Committee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Japan,D-JP,Delegation,197679,Isabel BENJUMEA BENJUMEA,Substitute,2019-07-02,
Committee on Petitions,PETI,Committee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2019-07-04,2022-01-19
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197679,Isabel BENJUMEA BENJUMEA,Substitute,2020-01-06,
Subcommittee on Tax Matters,FISC,Subcommittee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2020-09-14,2022-01-19
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2020-10-19,2021-12-19
Committee on Culture and Education,CULT,Committee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2022-01-20,
Committee on Petitions,PETI,Committee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197679,Isabel BENJUMEA BENJUMEA,Substitute,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,112014,Phil BENNION,Member,2019-07-02,2020-01-31
Subcommittee on Human Rights,DROI,Subcommittee,112014,Phil BENNION,Member,2019-07-02,2020-01-31
Delegation for Relations with the Countries of South Asia,DSAS,Delegation,112014,Phil BENNION,Member,2019-07-02,2020-01-31
Committee on the Internal Market and Consumer Protection,IMCO,Committee,112014,Phil BENNION,Substitute,2019-07-02,2020-01-31
Delegation for Relations with Japan,D-JP,Delegation,112014,Phil BENNION,Substitute,2019-07-02,2020-01-31
European Parliament,EP,Institution of the EU,23868,Monika BEŇOVÁ,Quaestor,2019-07-02,2022-01-18
European Parliament,EP,Institution of the EU,23868,Monika BEŇOVÁ,Quaestor,2022-01-19,
Parliament's Bureau,BURO,Political Body,23868,Monika BEŇOVÁ,Member,2019-07-02,2022-01-18
Quaestors,QUE,Political Body,23868,Monika BEŇOVÁ,Member,2019-07-02,2022-01-18
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,23868,Monika BEŇOVÁ,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,23868,Monika BEŇOVÁ,Member,2019-07-02,
Parliament's Bureau,BURO,Political Body,23868,Monika BEŇOVÁ,Member,2022-01-19,
Quaestors,QUE,Political Body,23868,Monika BEŇOVÁ,Member,2022-01-19,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,23868,Monika BEŇOVÁ,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,23868,Monika BEŇOVÁ,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,23868,Monika BEŇOVÁ,Substitute,2019-07-02,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,23868,Monika BEŇOVÁ,Substitute,2019-07-05,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,23868,Monika BEŇOVÁ,Substitute,2022-01-20,2023-01-31
Committee on the Internal Market and Consumer Protection,IMCO,Committee,23868,Monika BEŇOVÁ,Substitute,2022-01-20,
Subcommittee on Public Health,SANT,Subcommittee,23868,Monika BEŇOVÁ,Substitute,2023-03-15,
Committee on Foreign Affairs,AFET,Committee,197408,Hildegard BENTELE,Member,2019-07-02,2019-07-14
Committee on Development,DEVE,Committee,197408,Hildegard BENTELE,Member,2019-07-02,2022-01-19
Delegation for Relations with Canada,D-CA,Delegation,197408,Hildegard BENTELE,Member,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197408,Hildegard BENTELE,Member,2020-02-11,2022-01-19
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,197408,Hildegard BENTELE,Member,2020-02-12,
Committee on Development,DEVE,Committee,197408,Hildegard BENTELE,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197408,Hildegard BENTELE,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197408,Hildegard BENTELE,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197408,Hildegard BENTELE,Substitute,2019-07-02,2020-02-10
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197408,Hildegard BENTELE,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197408,Hildegard BENTELE,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197778,Tom BERENDSEN,Member,2019-07-02,2022-01-19
Committee on Regional Development,REGI,Committee,197778,Tom BERENDSEN,Member,2019-07-02,2022-01-19
Delegation for Relations with the Pan-African Parliament,DPAP,Delegation,197778,Tom BERENDSEN,Member,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197778,Tom BERENDSEN,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,197778,Tom BERENDSEN,Member,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,197778,Tom BERENDSEN,Substitute,2019-07-02,2022-01-19
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,197778,Tom BERENDSEN,Substitute,2019-07-02,
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,197778,Tom BERENDSEN,Substitute,2020-02-12,
Committee on Transport and Tourism,TRAN,Committee,197778,Tom BERENDSEN,Substitute,2022-01-20,
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,197478,Lars Patrick BERG,Member,2019-07-02,2019-09-15
Committee on Foreign Affairs,AFET,Committee,197478,Lars Patrick BERG,Member,2019-07-02,2021-05-11
Subcommittee on Human Rights,DROI,Subcommittee,197478,Lars Patrick BERG,Member,2019-07-02,2021-05-11
Subcommittee on Security and Defence,SEDE,Subcommittee,197478,Lars Patrick BERG,Member,2019-07-02,2021-05-11
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,197478,Lars Patrick BERG,Member,2019-07-02,2021-05-11
Committee on Economic and Monetary Affairs,ECON,Committee,197478,Lars Patrick BERG,Member,2021-07-05,2021-12-15
Delegation for Relations with India,D-IN,Delegation,197478,Lars Patrick BERG,Member,2021-09-13,
Committee on Transport and Tourism,TRAN,Committee,197478,Lars Patrick BERG,Member,2021-12-16,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197478,Lars Patrick BERG,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197478,Lars Patrick BERG,Substitute,2019-07-02,2021-05-11
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,197478,Lars Patrick BERG,Substitute,2019-07-02,2021-05-11
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197478,Lars Patrick BERG,Substitute,2019-07-02,2021-05-11
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197478,Lars Patrick BERG,Substitute,2019-09-17,2021-05-11
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,197478,Lars Patrick BERG,Substitute,2020-09-14,2021-05-11
Delegation for Relations with Afghanistan,D-AF,Delegation,197478,Lars Patrick BERG,Substitute,2021-07-15,
Committee on Foreign Affairs,AFET,Committee,197478,Lars Patrick BERG,Substitute,2021-12-14,2022-01-19
Committee on Foreign Affairs,AFET,Committee,197478,Lars Patrick BERG,Substitute,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197478,Lars Patrick BERG,Substitute,2022-03-24,2023-07-18
Committee on Economic and Monetary Affairs,ECON,Committee,197410,Stefan BERGER,Member,2019-07-02,2022-01-19
Delegation for Relations with Japan,D-JP,Delegation,197410,Stefan BERGER,Member,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,197410,Stefan BERGER,Member,2022-01-20,
Delegation for Relations with the Arab Peninsula,DARP,Delegation,197410,Stefan BERGER,Substitute,2019-07-02,2022-01-17
Committee on Employment and Social Affairs,EMPL,Committee,197410,Stefan BERGER,Substitute,2019-07-02,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197410,Stefan BERGER,Substitute,2020-02-11,2022-01-19
Subcommittee on Tax Matters,FISC,Subcommittee,197410,Stefan BERGER,Substitute,2020-09-14,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,197410,Stefan BERGER,Substitute,2022-01-18,
Committee on Employment and Social Affairs,EMPL,Committee,197410,Stefan BERGER,Substitute,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197410,Stefan BERGER,Substitute,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197410,Stefan BERGER,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,197396,Erik BERGKVIST,Member,2019-07-02,2022-01-19
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,197396,Erik BERGKVIST,Member,2021-12-13,
Committee on Transport and Tourism,TRAN,Committee,197396,Erik BERGKVIST,Member,2022-01-20,
Committee on Regional Development,REGI,Committee,197396,Erik BERGKVIST,Member,2022-01-20,
Committee on Budgets,BUDG,Committee,197396,Erik BERGKVIST,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197396,Erik BERGKVIST,Substitute,2019-07-02,2022-03-02
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197396,Erik BERGKVIST,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197396,Erik BERGKVIST,Substitute,2020-02-10,2022-01-19
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,197396,Erik BERGKVIST,Substitute,2021-10-18,
"Committee on Industry, Research and Energy",ITRE,Committee,197396,Erik BERGKVIST,Substitute,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,4746,Sergio BERLATO,Member,2020-02-10,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,4746,Sergio BERLATO,Member,2020-02-12,
Delegation for Relations with the Arab Peninsula,DARP,Delegation,4746,Sergio BERLATO,Member,2020-02-12,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,4746,Sergio BERLATO,Member,2020-02-12,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,4746,Sergio BERLATO,Member,2020-06-19,2021-12-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,4746,Sergio BERLATO,Member,2022-01-20,
Committee on International Trade,INTA,Committee,4746,Sergio BERLATO,Substitute,2020-02-10,2022-01-19
